Simulation Temperature Fraction,DC4,DC3,Common Neighbor Analysis (Non-Diamond),Interval Common Neighbor Analysis,Ackland-Jones Analysis
0.04,1.0,1.0,1.0,1.0,1.0
0.08,0.999975,1.0,1.0,1.0,1.0
0.12,0.99995,1.0,1.0,1.0,1.0
0.16,1.0,1.0,1.0,1.0,1.0
0.2,1.0,1.0,1.0,1.0,1.0
0.24,1.0,1.0,1.0,1.0,1.0
0.28,1.0,1.0,0.99995,1.0,1.0
0.32,1.0,1.0,0.9999,1.0,0.99995
0.36,0.999975,1.0,0.99935,1.0,0.99955
0.4,1.0,1.0,0.998725,0.999925,0.999125
0.44,1.0,1.0,0.9968,0.999925,0.9981
0.48,0.99995,0.999975,0.995,0.999575,0.996
0.52,0.999875,0.999975,0.98845,0.998725,0.990675
0.56,0.99995,0.999975,0.979325,0.99745,0.986225
0.6,0.999925,0.999875,0.96505,0.99515,0.9762
0.64,0.999925,0.999875,0.950075,0.99125,0.9648
0.68,0.9999,0.99935,0.9278,0.98305,0.951
0.72,0.999875,0.99885,0.89865,0.972825,0.93475
0.76,1.0,0.997825,0.866775,0.957525,0.911025
0.8,0.99995,0.995875,0.81845,0.931275,0.88145
0.84,0.999875,0.9943,0.77,0.907775,0.850875
0.88,0.99985,0.989825,0.7076,0.8589,0.8087
0.92,0.9999,0.985375,0.652675,0.821925,0.773425
0.96,0.9996,0.976075,0.56985,0.75185,0.7184
1.0,0.999725,0.963675,0.502525,0.683075,0.667575
1.04,0.99955,0.9483,0.4301,0.614925,0.612425
1.08,0.999575,0.934425,0.36485,0.543825,0.55945
1.12,0.998625,0.902425,0.284075,0.4494,0.50005
1.16,0.9968,0.85665,0.216725,0.3562,0.4211
1.2,0.900625,0.1616,0.029075,0.050575,0.07675
1.24,0.878025,0.007575,5e-05,5e-05,0.008525
1.28,0.879175,0.00745,7.5e-05,0.0001,0.0084
1.32,0.88095,0.006225,0.0,0.0,0.008325
1.36,0.884275,0.005475,0.0,0.0,0.0072
1.4,0.884425,0.00505,0.0,0.0,0.007325
1.44,0.892775,0.00475,0.0,0.0,0.0059
1.48,0.889775,0.00495,0.0,2.5e-05,0.005675
1.52,0.8927,0.0044,0.0,0.0,0.004475
1.56,0.8929,0.003825,0.0,2.5e-05,0.0046
1.6,0.8915,0.00405,2.5e-05,2.5e-05,0.004125
