Simulation Temperature Fraction,DC4,DC3,Common Neighbor Analysis (Diamond),Chill+
0.04,1.0,1.0,1.0,1.0
0.08,0.99995,1.0,1.0,1.0
0.12,0.9999875,1.0,1.0,1.0
0.16,0.99995,1.0,1.0,1.0
0.2,0.9998625,1.0,1.0,1.0
0.24,0.9999625,1.0,1.0,1.0
0.28,0.999975,1.0,1.0,1.0
0.32,1.0,1.0,1.0,1.0
0.36,0.9998375,1.0,1.0,1.0
0.4,0.9999875,1.0,1.0,1.0
0.44,0.9999625,1.0,1.0,1.0
0.48,0.9999125,1.0,1.0,1.0
0.52,0.999975,0.9999875,1.0,1.0
0.56,0.9999375,0.99995,1.0,1.0
0.6,0.99995,0.999975,1.0,1.0
0.64,0.9999125,0.9999125,1.0,1.0
0.68,0.9999875,0.9997375,1.0,1.0
0.72,0.999975,0.9996,1.0,1.0
0.76,0.999925,0.9995,1.0,1.0
0.8,0.9999,0.9993125,1.0,1.0
0.84,0.999925,0.9988125,0.999975,1.0
0.88,0.9999375,0.998625,0.99995,1.0
0.92,0.999925,0.9979,0.9999625,1.0
0.96,0.999875,0.9969125,0.9999625,0.999975
1.0,0.9998875,0.9957125,0.9999375,1.0
1.04,0.9998625,0.994875,0.9998875,1.0
1.08,0.9999375,0.9945875,0.999925,0.999975
1.12,0.9999,0.9923875,0.9997375,0.999975
1.16,0.9998875,0.9909125,0.9992875,0.999925
1.2,0.9998875,0.9890625,0.9990875,0.9997875
1.24,0.9990375,0.98425,0.9947125,0.9974125
1.28,0.5226,0.497875,0.4961375,0.5096625
1.32,0.5015,0.4782875,0.478575,0.4903875
1.36,0.3912375,0.370375,0.3702625,0.3817625
1.4,0.380525,0.359475,0.3613125,0.37145
1.44,0.2924,0.275475,0.2766625,0.285075
1.48,0.187425,0.1722875,0.171375,0.1799625
1.52,0.141475,0.124425,0.1215625,0.13125
1.56,0.1108125,0.099025,0.0970375,0.103775
1.6,0.0929375,0.0808,0.078,0.0852875
