Simulation Temperature Fraction,DC4,DC3,Common Neighbor Analysis (Non-Diamond),Interval Common Neighbor Analysis,Ackland-Jones Analysis,VoroTop Analysis
0.04,1.0,1.0,1.0,1.0,0.99715,1.0
0.08,1.0,1.0,1.0,1.0,0.9628,1.0
0.12,0.99995,1.0,1.0,1.0,0.8976,1.0
0.16,1.0,1.0,1.0,1.0,0.82705,1.0
0.2,1.0,1.0,1.0,1.0,0.7565,1.0
0.24,1.0,1.0,0.9998,1.0,0.69395,1.0
0.28,1.0,1.0,0.99865,0.9998,0.64885,0.9997
0.32,1.0,0.9999,0.99595,0.99975,0.6026,0.9997
0.36,0.99965,0.9993,0.9879,0.9983,0.56055,0.99915
0.4,0.99935,0.99875,0.97755,0.99745,0.5318,0.9951
0.44,0.99975,0.99815,0.96235,0.99285,0.51415,0.99155
0.48,0.9989,0.99565,0.95055,0.98815,0.48965,0.98615
0.52,0.9975,0.9935,0.92495,0.9803,0.4713,0.97485
0.56,0.9969,0.9881,0.8956,0.96705,0.46325,0.9652
0.6,0.9945,0.98375,0.86015,0.95095,0.4404,0.9472
0.64,0.99235,0.9746,0.8161,0.9249,0.4318,0.9246
0.68,0.98955,0.96795,0.77575,0.9064,0.41505,0.9095
0.72,0.9852,0.957,0.73165,0.87395,0.40535,0.87405
0.76,0.97775,0.9448,0.6748,0.83065,0.4038,0.83895
0.8,0.9699,0.9255,0.6297,0.79465,0.3913,0.8036
0.84,0.96475,0.9124,0.58455,0.75805,0.3832,0.77365
0.88,0.9568,0.88355,0.5063,0.6924,0.3671,0.72215
0.92,0.9353,0.8536,0.4508,0.63785,0.36375,0.6676
0.96,0.9109,0.81595,0.38235,0.5648,0.34435,0.61085
1.0,0.8922,0.79575,0.3411,0.5211,0.34435,0.56715
1.04,0.87605,0.7587,0.29985,0.46955,0.3362,0.52715
1.08,0.83495,0.71265,0.2514,0.39985,0.3205,0.44995
1.12,0.77415,0.654,0.19855,0.3277,0.31005,0.38765
1.16,0.71005,0.5743,0.13875,0.2438,0.2916,0.2965
1.2,0.6335,0.51035,0.1013,0.1891,0.27495,0.242
1.24,0.1146,0.1135,0.0066,0.01285,0.1493,0.01515
1.28,0.0676,0.0735,0.0,0.0002,0.1409,0.00055
1.32,0.0694,0.0709,0.0,0.0001,0.1354,0.0005
1.36,0.06965,0.0722,0.0,0.0002,0.1312,0.00025
1.4,0.07015,0.07215,5e-05,5e-05,0.12825,0.00035
1.44,0.0754,0.0699,0.0,0.0,0.1168,0.00035
1.48,0.0787,0.0706,5e-05,0.0001,0.11795,0.00055
1.52,0.078,0.06515,0.0,5e-05,0.1135,0.0003
1.56,0.0803,0.06775,0.0,0.0001,0.11165,0.00025
1.6,0.0816,0.0674,0.0,0.0,0.104,0.00025
