Simulation Temperature Fraction,DC4,DC3,Common Neighbor Analysis (Non-Diamond),Interval Common Neighbor Analysis,Ackland-Jones Analysis,VoroTop Analysis
0.04,1.910865306854248,6.937597990036011,0.11635375022888184,0.1581861972808838,0.06453561782836914,0.29311347007751465
0.08,1.843155860900879,6.910445928573608,0.11626172065734863,0.1485283374786377,0.06557011604309082,0.2913634777069092
0.12,1.7704098224639893,7.022808074951172,0.11289453506469727,0.14499187469482422,0.060994863510131836,0.28182363510131836
0.16,1.8862121105194092,7.092122316360474,0.1181783676147461,0.14336776733398438,0.05795788764953613,0.2783854007720947
0.2,1.894655704498291,6.994989395141602,0.11328864097595215,0.15590763092041016,0.05435824394226074,0.2899177074432373
0.24,1.8236939907073975,7.038306951522827,0.11802268028259277,0.143082857131958,0.06559944152832031,0.29187750816345215
0.28,1.8679721355438232,6.944281339645386,0.12365245819091797,0.14743256568908691,0.059790849685668945,0.28998589515686035
0.32,1.8907361030578613,6.979907512664795,0.12706542015075684,0.1530628204345703,0.06301069259643555,0.28496623039245605
0.36,1.7389163970947266,6.950820207595825,0.11995244026184082,0.15280365943908691,0.06298542022705078,0.2841975688934326
0.4,1.8172376155853271,7.2177019119262695,0.1271228790283203,0.14830589294433594,0.07047843933105469,0.28986597061157227
0.44,1.8149425983428955,6.992750406265259,0.12042975425720215,0.15239548683166504,0.059415578842163086,0.29044508934020996
0.48,1.7856788635253906,6.985213994979858,0.1217198371887207,0.14810657501220703,0.05985546112060547,0.2825767993927002
0.52,1.7298624515533447,6.9219701290130615,0.12143707275390625,0.15465569496154785,0.04924583435058594,0.2798044681549072
0.56,1.8490455150604248,7.001502513885498,0.1322638988494873,0.14772272109985352,0.06390047073364258,0.29517078399658203
0.6,1.7886919975280762,6.967421293258667,0.12564921379089355,0.1602160930633545,0.05990314483642578,0.288848876953125
0.64,1.8237550258636475,7.600443124771118,0.11762332916259766,0.14983558654785156,0.07088947296142578,0.3232889175415039
0.68,1.8952605724334717,7.012331008911133,0.12209892272949219,0.15660810470581055,0.0576329231262207,0.2925431728363037
0.72,1.7661950588226318,7.208251953125,0.12970471382141113,0.14645051956176758,0.06987881660461426,0.300356388092041
0.76,1.9227542877197266,7.082392454147339,0.1233823299407959,0.15197110176086426,0.06797528266906738,0.29186296463012695
0.8,1.8602044582366943,7.126220703125,0.11893606185913086,0.15341973304748535,0.06004619598388672,0.29027557373046875
0.84,1.9072322845458984,7.018868684768677,0.1141512393951416,0.15714263916015625,0.059868812561035156,0.304180383682251
0.88,1.8956985473632812,7.200773239135742,0.1149604320526123,0.15835285186767578,0.06647562980651855,0.3196136951446533
0.92,1.860203504562378,7.194930553436279,0.11614418029785156,0.1591472625732422,0.0708777904510498,0.36992645263671875
0.96,1.870093822479248,7.169205904006958,0.12135744094848633,0.15670156478881836,0.06345129013061523,0.3406209945678711
1.0,1.9369487762451172,7.242799520492554,0.1270153522491455,0.14339399337768555,0.06968331336975098,0.3387775421142578
1.04,1.9631800651550293,7.63468861579895,0.1041109561920166,0.15970444679260254,0.060277462005615234,0.3799901008605957
1.08,1.9921801090240479,7.328593730926514,0.1108853816986084,0.14905309677124023,0.0648195743560791,0.3449876308441162
1.12,1.9501299858093262,7.38394832611084,0.11252975463867188,0.15420794486999512,0.05356025695800781,0.36518073081970215
1.16,2.0152719020843506,7.36421799659729,0.10538959503173828,0.14766192436218262,0.06508970260620117,0.38402223587036133
1.2,1.8904922008514404,7.280307054519653,0.10760641098022461,0.14101791381835938,0.06581306457519531,0.3833189010620117
1.24,2.029844045639038,7.298595190048218,0.1103672981262207,0.16588044166564941,0.07243752479553223,0.38193464279174805
1.28,1.5653648376464844,7.128093004226685,0.10685396194458008,0.13101696968078613,0.06348490715026855,0.34062719345092773
1.32,1.9384422302246094,7.08404803276062,0.10248637199401855,0.14232563972473145,0.06002974510192871,0.33976268768310547
1.36,1.8528766632080078,7.167611837387085,0.10019803047180176,0.13714122772216797,0.057364463806152344,0.34915614128112793
1.4,1.8004257678985596,7.363514184951782,0.12328720092773438,0.13530349731445312,0.05449032783508301,0.3540771007537842
1.44,1.7433011531829834,7.037266969680786,0.1018979549407959,0.13186335563659668,0.061913490295410156,0.3575305938720703
1.48,1.8053796291351318,7.08577823638916,0.10252833366394043,0.13565516471862793,0.050084829330444336,0.40178847312927246
1.52,1.898449420928955,7.085789918899536,0.10571765899658203,0.13486337661743164,0.05881929397583008,0.3341994285583496
1.56,1.8969597816467285,7.043055057525635,0.10975217819213867,0.1309647560119629,0.06291532516479492,0.3369722366333008
1.6,1.9133892059326172,7.01716947555542,0.09892630577087402,0.13902974128723145,0.0509033203125,0.35036587715148926
