Simulation Temperature Fraction,DC4,DC3,Common Neighbor Analysis (Non-Diamond),Interval Common Neighbor Analysis,Ackland-Jones Analysis
0.04,0.97865,1.0,1.0,1.0,1.0
0.08,0.966825,1.0,1.0,1.0,1.0
0.12,0.9694,1.0,1.0,1.0,0.9994
0.16,0.960125,0.999975,0.999975,1.0,0.99715
0.2,0.958225,1.0,0.9984,1.0,0.9923
0.24,0.950375,1.0,0.99585,0.999825,0.983425
0.28,0.94745,0.999975,0.9882,0.9989,0.973025
0.32,0.9408,0.99985,0.9762,0.997075,0.958725
0.36,0.936525,0.99975,0.95585,0.9932,0.942375
0.4,0.92875,0.999725,0.91675,0.981175,0.91785
0.44,0.921175,0.999025,0.87605,0.96315,0.893375
0.48,0.9172,0.998375,0.830625,0.942675,0.8636
0.52,0.909825,0.996675,0.77845,0.91225,0.83485
0.56,0.90315,0.995625,0.72795,0.875375,0.805
0.6,0.893675,0.992625,0.660475,0.828325,0.7672
0.64,0.885525,0.988075,0.5881,0.773775,0.725225
0.68,0.874375,0.9831,0.5259,0.7162,0.6946
0.72,0.86565,0.9759,0.467525,0.655725,0.659275
0.76,0.855025,0.9699,0.415425,0.60625,0.622925
0.8,0.8419,0.958925,0.35275,0.537875,0.58415
0.84,0.826175,0.949325,0.3069,0.47915,0.54975
0.88,0.81345,0.93915,0.26475,0.4268,0.51595
0.92,0.7945,0.926,0.226975,0.37455,0.489875
0.96,0.77205,0.904275,0.18335,0.3121,0.45325
1.0,0.75435,0.8865,0.1517,0.26575,0.423175
1.04,0.72905,0.87465,0.130025,0.237625,0.402025
1.08,0.696725,0.837225,0.0998,0.185025,0.3691
1.12,0.6607,0.813175,0.079825,0.154375,0.3415
1.16,0.5972,0.74305,0.0528,0.10585,0.304975
1.2,0.176175,0.03125,0.0001,0.000225,0.1713
1.24,0.166925,0.0278,5e-05,0.000175,0.169825
1.28,0.157925,0.026275,2.5e-05,0.00015,0.162
1.32,0.147475,0.024125,7.5e-05,0.00025,0.15655
1.36,0.14565,0.021775,0.0,0.00015,0.1496
1.4,0.13595,0.019625,0.0001,0.000175,0.14455
1.44,0.129625,0.017725,0.0,0.00015,0.1426
1.48,0.124225,0.019025,5e-05,0.000175,0.13375
1.52,0.118975,0.01645,5e-05,7.5e-05,0.132875
1.56,0.113875,0.014575,5e-05,0.00015,0.129225
1.6,0.11215,0.014325,0.0,2.5e-05,0.121775
